Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
15,5.8,4.0,1.2,0.2,Iris-setosa
122,5.6,2.8,4.9,2.0,Iris-virginica
42,4.5,2.3,1.3,0.3,Iris-setosa
93,5.8,2.6,4.0,1.2,Iris-versicolor
100,5.7,2.8,4.1,1.3,Iris-versicolor
140,6.9,3.1,5.4,2.1,Iris-virginica
26,5.0,3.0,1.6,0.2,Iris-setosa
127,6.2,2.8,4.8,1.8,Iris-virginica
139,6.0,3.0,4.8,1.8,Iris-virginica
22,5.1,3.7,1.5,0.4,Iris-setosa
96,5.7,3.0,4.2,1.2,Iris-versicolor
89,5.6,3.0,4.1,1.3,Iris-versicolor
6,5.4,3.9,1.7,0.4,Iris-setosa
79,6.0,2.9,4.5,1.5,Iris-versicolor
116,6.4,3.2,5.3,2.3,Iris-virginica
18,5.1,3.5,1.4,0.3,Iris-setosa
98,6.2,2.9,4.3,1.3,Iris-versicolor
102,5.8,2.7,5.1,1.9,Iris-virginica
84,6.0,2.7,5.1,1.6,Iris-versicolor
143,5.8,2.7,5.1,1.9,Iris-virginica
8,5.0,3.4,1.5,0.2,Iris-setosa
109,6.7,2.5,5.8,1.8,Iris-virginica
103,7.1,3.0,5.9,2.1,Iris-virginica
38,4.9,3.1,1.5,0.1,Iris-setosa
95,5.6,2.7,4.2,1.3,Iris-versicolor
33,5.2,4.1,1.5,0.1,Iris-setosa
13,4.8,3.0,1.4,0.1,Iris-setosa
101,6.3,3.3,6.0,2.5,Iris-virginica
90,5.5,2.5,4.0,1.3,Iris-versicolor
41,5.0,3.5,1.3,0.3,Iris-setosa
124,6.3,2.7,4.9,1.8,Iris-virginica
68,5.8,2.7,4.1,1.0,Iris-versicolor
32,5.4,3.4,1.5,0.4,Iris-setosa
57,6.3,3.3,4.7,1.6,Iris-versicolor
72,6.1,2.8,4.0,1.3,Iris-versicolor
92,6.1,3.0,4.6,1.4,Iris-versicolor
17,5.4,3.9,1.3,0.4,Iris-setosa
74,6.1,2.8,4.7,1.2,Iris-versicolor
115,5.8,2.8,5.1,2.4,Iris-virginica
71,5.9,3.2,4.8,1.8,Iris-versicolor
118,7.7,3.8,6.7,2.2,Iris-virginica
94,5.0,2.3,3.3,1.0,Iris-versicolor
107,4.9,2.5,4.5,1.7,Iris-virginica
10,4.9,3.1,1.5,0.1,Iris-setosa
105,6.5,3.0,5.8,2.2,Iris-virginica
